	X107.0_1	X107.0_2	X107.0_3	X107.15_1	X107.15_2	X107.15_3	X90.0_1	X90.0_2	X90.0_3	X90.15_1	X90.15_2	X90.15_3
Ciclev10026969m	7.93346195158012	6.58869476536721	5.74903334110822	4.55434507291682	6.79779322051766	5.6166298524663	2.74349175169205	5.2281639699299	4.95115603842721	4.68951569239847	6.04230080520372	3.04159003191556
Ciclev10026970m	0.772739800478583	0.340794556829338	0.92395178696382	0.700668472756433	0.107901479690757	0.224665194098652	0.457248625282008	0.459618810543288	0.215267653844661	0.266449755249913	0.335683378066873	0.154657120266893
Ciclev10026975m	0.566675853684295	1.76077187695158	0.205322619325293	0.233556157585478	0.485556658608404	0.673995582295956	0.065321232183144	0.287261756589555	0.0538169134611654	0.106579902099965	0.0559472296778122	0.20620949368919
Ciclev10026977m	1.03031973397144	0.624790020853787	0.718629167638527	1.05100270913465	0.91716257737143	0.56166298524663	0.457248625282008	1.14904702635822	1.72214123075729	0.746059314699756	0.727313985811559	0.360866613956083
Ciclev10026979m	2.06063946794289	2.04476734097603	2.36121012224087	2.1020054182693	2.64358625242353	2.35898453803585	0.587891089648296	1.72357053953733	1.77595814421846	3.25068701404894	3.07709763227967	2.31985680400339
Ciclev10026982m	2.36973538813432	2.44236099061026	1.95056488359029	3.4449533243858	2.15802959381513	3.0329801203318	2.74349175169205	1.60866583690151	1.88359197114079	2.29146789514925	1.8462585793678	2.01054256346961
Ciclev10026984m	0.875771773875728	0.454392742439118	0.718629167638527	0.642279433360064	0.91716257737143	1.01099337344393	0.195963696549432	0.919237621086576	0.968704442300977	1.01250906994967	0.727313985811559	0.979495095023655
Ciclev10026985m	0.824255787177156	0.511191835244007	0.718629167638527	0.934224630341911	0.377655178917648	0.449330388197304	1.43706710802917	0.976689972404487	1.13015518268447	0.42631960839986	0.279736148389061	0.463971360800678
Ciclev10026987m	2.4212513748329	1.98796824817114	2.4125407770722	2.51072869404389	1.78037441489748	2.07815304541253	1.82899450112803	2.87261756589555	2.36794419229128	3.25068701404894	2.68546702453499	2.0620949368919
Ciclev10026989m	6.85162623091011	8.40626573512368	6.72431578290336	4.84629026989866	8.25446319634287	6.68378952443489	4.50716502063694	6.20485394233438	6.45802961533984	4.15661618189864	5.25903958971435	5.56765632960814
Ciclev10026990m	1.39093164086145	0.965584577683125	1.12927440628911	1.22616982732376	0.863211837526052	0.786328179345282	1.11046094711345	1.20649937767613	1.34542283652913	1.01250906994967	1.56652243097874	1.13415221529055
Ciclev10026991m	5.15159866985722	6.6454938581721	3.0798392898794	3.26978620619669	6.6898917408269	4.83030167312102	1.0451397149303	1.20649937767613	1.07633826922331	1.2256688741496	0.671366756133747	1.75278069635812
Ciclev10026994m	1.64851157435431	1.0791827632929	1.07794375145779	1.81006022128745	1.07901479690757	1.0671596719686	0.914497250564016	0.861785269768665	0.914887528839811	0.692769363649773	0.895155674844995	0.876390348179059
Ciclev10026995m	4.89401873636436	8.06547117829434	12.4220184691803	7.94090935790624	5.4490247243832	6.51529062886091	3.33138284134034	5.34306867256572	2.6370287595971	6.28821422389794	6.04230080520372	5.98007531698652
Ciclev10026997m	12.2608048342602	21.4700570802483	5.13306548313234	5.19662450627688	10.2506405706219	7.63861659935417	5.22569857465152	5.51542572651945	4.68207147112139	3.89016642664873	4.5876728335806	4.330399367473
Ciclev10026999m	1.80305953445003	2.04476734097603	1.43725833527705	2.45233965464752	2.53568477273278	2.13431934393719	3.07009791260777	1.43630878294777	3.39046554805342	1.97172818884935	2.12599472775686	1.85588544320271
Ciclev10027000m	28.7459205778033	25.9571854118346	28.9504893248664	34.449533243858	25.7345029062454	28.4763133520041	24.3648196043127	29.5305085774062	25.4015831536701	36.823356175538	36.4216465202558	33.4059379776488
Ciclev10027001m	23.9034178281375	23.685221699639	27.5132309895893	23.3556157585478	21.4184437186152	26.004996216919	33.3138284134034	29.4156038747704	26.693189076738	22.0620397346928	23.3299947756477	23.4047775337231
Ciclev10027003m	0.669707827081439	0.340794556829338	1.18060506112044	0.759057512152803	0.593458138299161	0.56166298524663	0.391927393098864	0.689428215814932	0.69961987499515	0.746059314699756	0.391630607744685	0.927942721601357
Ciclev10027005m	0.721223813780011	0.908785484878236	0.564637203144557	0.350334236378217	0.32370443907227	0.505496686721967	1.50238834021231	1.66611818821942	1.34542283652913	1.70527843359944	1.62246966065655	1.54657120266893
Ciclev10027006m	1.44244762756002	1.59037459853691	0.975282441795144	1.10939174853102	1.45666997582521	1.62882265721523	1.82899450112803	1.95337994480897	2.26031036536895	1.2256688741496	1.06299736387843	1.49501882924663
Ciclev10027007m	2.62731532162718	2.66955736182982	1.89923422875896	1.57650406370197	2.21198033366051	2.19048564246186	2.93945544824148	2.18318935008062	4.3591699903544	2.61120760144915	3.74846438841342	3.04159003191556
Ciclev10027010m	77.1709480744612	60.6614311156222	36.9067408237215	44.258891862448	67.7621292457951	72.5106913953399	70.1550033646967	49.5239268360393	69.5852691052868	43.6977598609857	34.3515990221767	52.3772113970544
Ciclev10027013m	2.7818632817229	3.97593649634228	6.21100923459013	4.26239987593497	4.37000992747564	6.12212653918827	1.17578217929659	4.53873575411497	2.69084567305827	5.32899510499826	3.86035884776904	5.51610395618584
Ciclev10027015m	4.79098676296722	2.83995464024449	0.564637203144557	0.233556157585478	1.56457145551597	0.954827074919271	0.587891089648296	1.49376113426569	0.430535307689323	0.159869853149948	1.23083905291187	0.257761867111488
Ciclev10027018m	2.67883130832576	4.03273558914717	5.38971875728895	3.79528756076401	4.15420696809413	3.20147901590579	2.6781705195089	2.81516521457764	2.6370287595971	1.86514828674939	5.93040634584809	1.08259984186825
Ciclev10027019m	0.669707827081439	0.738388206463566	0.718629167638527	0.817446551549172	1.02506405706219	1.23565856754259	0.391927393098864	0.631975864497021	0.484352221150488	0.959219118899686	0.615419526455934	0.309314240533786
Ciclev10027022m	1.28789966746431	1.76077187695158	3.54181518336131	2.21878349706204	2.42778329304202	2.75214862770849	1.82899450112803	1.5512134855836	2.42176110575244	3.14410711194897	2.12599472775686	2.83538053822637
Ciclev10027025m	8.912265698853	14.7677641292713	2.25854881257823	2.21878349706204	8.47026615572439	6.79612212148422	2.80881298387519	4.65364045675079	2.7984794999806	2.66449755249913	2.85330871356842	2.62917104453718
Ciclev10027028m	2.00912348124432	2.89675373304938	0.92395178696382	0.934224630341911	1.56457145551597	0.898660776394608	0.457248625282008	1.09159467504031	1.2377890096068	0.639479412599791	0.895155674844995	0.567076107645274
